Kategorie|Thema|Kuriositaet|Hintergrund|Quelle
Autoren-Macken|Agatha Christie|Schrieb in der Badewanne|Die berühmte Krimi-Autorin entwickelte die Plots für ihre Mordfälle am liebsten beim Essen von Äpfeln in einer großen Badewanne.|https://quoteinvestigator.com
Autoren-Macken|Charles Dickens|Nördliche Ausrichtung|Dickens konnte nur schreiben oder schlafen, wenn sein Bett und sein Schreibtisch exakt nach Norden ausgerichtet waren. Er glaubte, dies stärke seine Kreativität.|https://upworthy.com
Autoren-Macken|Friedrich Schiller|Verfaulte Äpfel|Schiller brauchte den Geruch von verfaulenden Äpfeln in seiner Schreibtischschublade, um in Schreibstimmung zu kommen.|https://therumpus.net
Autoren-Macken|Colette|Flöhe fangen|Die französische Schriftstellerin Colette begann ihren Arbeitstag erst, nachdem sie ihren Hund gründlich nach Flöhen abgesucht hatte.|https://storey-lines.com
Autoren-Macken|Honoré de Balzac|Kaffeesucht|Balzac trank während seiner nächtlichen Schreibphasen bis zu 50 Tassen Kaffee am Tag, was zu schweren Magenproblemen führte.|https://bang2write.com
Autoren-Macken|Stephen King|Vergessene Romane|King kann sich aufgrund massiver Suchtprobleme in den 1980er Jahren kaum daran erinnern, den kompletten Roman Cujo geschrieben zu haben.|https://wikipedia.org
Bücher-Rekorde|Der Herr der Ringe|Zusammenhängendes Werk|J.R.R. Tolkien plante das Werk nie als Trilogie, sondern als ein einziges Buch. Der Verlag teilte es aus Papiermangel nach dem Weltkrieg auf.|https://wikipedia.org
Bücher-Rekorde|Gadsby|Roman ohne E|Der Roman Gadsby (1939) von Ernest Vincent Wright enthält auf über 50.000 Wörtern kein einziges Mal den Buchstaben E.|https://abebooks.com
Bücher-Rekorde|La Disparition|Französisches Lipogramm|Georges Perec schrieb einen kompletten Roman ohne den Buchstaben E, der im Französischen der häufigste Buchstabe ist.|https://lustauflesen.de
Bücher-Rekorde|In Search of Lost Time|Längster Satz|Marcel Proust hält einen Rekord für einen der längsten Sätze der Weltliteratur: Ein Satz in seinem Werk umfasst im Original 847 Wörter.|https://discoverwalks.com
Bücher-Rekorde|Der Alchemist|Schnelligkeitsrekord|Paulo Coelho schrieb den Weltbestseller in nur zwei Wochen, weil die Geschichte laut eigener Aussage bereits komplett in seiner Seele geschrieben war.|https://wikipedia.org
Zensur & Kuriose Verbote|Alice im Wunderland|Sprechende Tiere|Das Buch wurde 1931 in der chinesischen Provinz Hunan verboten, weil Tiere nicht die Sprache der Menschen benutzen und auf dieselbe Stufe gestellt werden sollten.|https://wikipedia.org
Zensur & Kuriose Verbote|Tarzan|Wilde Ehe|In den 1930er Jahren wurde die Buchreihe in einigen US-Bibliotheken verboten, weil Tarzan und Jane im Dschungel lebten, ohne offiziell verheiratet zu sein.|https://wikipedia.org
Entstehungsgeschichten|Frankenstein|Urlaubswette|Mary Shelley erfand die Geschichte von Frankenstein bei einem Urlaub am Genfer See, als Lord Byron zu einem Gruselgeschichten-Wettbewerb aufrief.|https://bookophile.com
Entstehungsgeschichten|Dracula|Albtraum nach Krabben|Bram Stoker bekam die Idee zu Dracula nach einem nächtlichen Albtraum, den er auf den Verzehr von zu viel verdorbenem Krabbenfleisch zurückführte.|https://wikipedia.org
Entstehungsgeschichten|Peter Pan|Rechte-Schenkung|Der Autor J.M. Barrie vermachte alle Rechte an Peter Pan dem Great Ormond Street Kinderkrankenhaus in London, das bis heute von den Tantiemen profitiert.|https://wikipedia.org
Pseudonyme|J.K. Rowling|Männlicher Name|Robert Galbraith ist das Pseudonym von J.K. Rowling für ihre Kriminalromane, um die Bücher ohne den Harry-Potter-Hype bewerten zu lassen.|https://wikipedia.org
Pseudonyme|Stephen King|Richard Bachman|King veröffentlichte Bücher als Richard Bachman, um zu testen, ob sein Erfolg am Talent oder nur an seinem berühmten Namen lag.|https://wikipedia.org
Titel & Verlage|Harry Potter|Abgewiesen|Das Manuskript zum ersten Harry-Potter-Band wurde von insgesamt 12 Verlagen abgelehnt, bevor ein kleiner Londoner Verlag zusagte.|https://wikipedia.org
Titel & Verlage|Moby Dick|Zwiebeln|Der erste Entwurf von Herman Melvilles Meisterwerk trug ursprünglich den wenig epischen Arbeitstitel The Whale (Der Wal).|https://wikipedia.org
Titel & Verlage|The Great Gatsby|Alternativtitel|F. Scott Fitzgerald wollte sein Buch ursprünglich »Under the Red, White and Blue« oder »Trimalchio in West Egg« nennen.|https://wikipedia.org
Plagiate & Irrtümer|Sherlock Holmes|Die Deerstalker-Mütze|Arthur Conan Doyle hat in seinen Büchern nie geschrieben, dass Holmes eine Deerstalker-Mütze (Jagdmütze) trägt. Das erfand erst ein Illustrator der Magazine.|https://wikipedia.org
Autoren-Macken|Maya Angelou|Hotelzimmer-Schreiben|Die Autorin mietete zum Schreiben immer ein anonymes Hotelzimmer, ließ alle Bilder von den Wänden nehmen und verlangte, dass niemand das Zimmer betritt.|https://upworthy.com
Autoren-Macken|Virginia Woolf|Schreiben im Stehen|Woolf schrieb viele ihrer Romane an einem fast einen Meter hohen Stehpult, weil sie sich ihrer Schwester (einer Malerin, die im Stehen arbeitete) ebenbürtig fühlen wollte.|https://wikipedia.org
Autoren-Macken|Edgar Allan Poe|Schriftrollen-Format|Poe schrieb seine Geschichten oft auf schmale Papierstreifen, die er mit Siegelwachs zu einer einzigen, langen Rolle zusammenklebte.|https://wikipedia.org
Bücher-Rekorde|Les Misérables|Die kürzeste Telegramm-Kritik|Victor Hugo telegraphierte seinem Verleger nur ein Fragezeichen um zu wissen, wie sich das Buch verkauft. Der Verleger antwortete ebenso kurz mit einem Ausrufezeichen.|https://wikipedia.org
Bücher-Rekorde|Guinness-Buch|Am häufigsten gestohlen|Das Guinness-Buch der Rekorde hält selbst den Rekord als das am häufigsten aus öffentlichen Leihbibliotheken gestohlene Buch der Welt.|https://wikipedia.org
Zensur & Kuriose Verbote|Die Mitteilung|Abbruch-Statistik|Laut E-Reader-Statistiken verliert der Durchschnittsleser, wenn er das Interesse an einem Buch verliert, exakt auf Seite 18 die Lust.|https://wikipedia.org
Entstehungsgeschichten|A Christmas Carol|Geldsorgen|Charles Dickens schrieb die Weihnachtsgeschichte in nur sechs Wochen unter massivem finanziellem Druck, um dringende Schulden zu begleichen.|https://wikipedia.org
Entstehungsgeschichten|1984|Alternativtitel|George Orwells Dystopie sollte ursprünglich den titel »The Last Man in Europe« (Der letzte Mensch in Europa) tragen.|https://wikipedia.org
Titel & Verlage|Die Chroniken von Narnia|C.S. Lewis|Lewis wurde von seinen Kritikern und Verleger-Freunden (darunter J.R.R. Tolkien) anfangs ausgelacht und gedrängt, die Narnia-Bücher niemals zu veröffentlichen.|https://wikipedia.org
Plagiate & Irrtümer|Frankenstein|Das Monster hat keinen Namen|In Mary Shelleys Roman hat das Monster keinen Namen. Es wird nur als »Die Kreatur« oder »Das Dämonische« bezeichnet, Frankenstein ist der Name des Schöpfers.|https://wikipedia.org
Autoren-Macken|Alexandre Dumas|[Übersetzt] Farb-Codierung|Dumas nutzte für verschiedene Genres unterschiedliche Papierfarben: Seine Romane schrieb er auf blauem, Gedichte auf gelbem und Sachtexte auf rosa Papier.|https://wikipedia.org
Autoren-Macken|John Steinbeck|[Übersetzt] Bleistift-Verschleiß|Steinbeck schrieb seine Romane ausschließlich mit Bleistiften. Für das Schreiben von »Jenseits von Eden« verbrauchte er exakt 300 Bleistifte.|https://wikipedia.org
Autoren-Macken|Dan Brown|[Übersetzt] Inversionstherapie|Dan Brown bekämpft Schreibblockaden mit »Inversionstherapie«: Er hängt sich in speziellen Gravitationsstiefeln kopfüber an eine Stange, um die Blutzirkulation im Gehirn anzuregen.|https://wikipedia.org
Autoren-Macken|James Joyce|[Übersetzt] Riesen-Stifte|Da Joyce im Alter fast blind war, schrieb es seine Manuskripte mit dicken, farbigen Buntstiften auf riesigen Pappkartons, während er im Bett lag.|https://wikipedia.org
Autoren-Macken|Mark Twain|[Übersetzt] Erfinder des Bettschreibens|Twain schrieb fast alle seine großen Werke im Bett liegend. Er behauptete, dass Sitzen seiner Konzentration schade.|https://wikipedia.org
